id,username,text,like_count,reply_count,repost_count,created_at,url
3878016720057968196,vacheronconstantin,"Echoes of Cilivisations

The Métiers d'Art Tribute to Great Civilisations series invites a contemplation of ancient worlds through four distinct dials.

Pharaonic Egypt is represented by the Bust of Akhenaten, sculpted in glyptique on Egyptian limestone, framed by turquoise and champlevé stone friezes. The Assyrian Empire's Lamassu of Sargon II emerges from Italian limestone, complemented by champlevé stone and flinqué enamel. Ancient Greece's Athena of Velletri, rendered in Thasos marble glyptique, is surrounded by a black enamel frieze and stone marquetry. Finally, imperial Rome's Tiber of the Iseum Campense, also in Italian marble, is paired with a micro-mosaic and gold leaf textured base.

Each timepiece, a limited edition of 15 pieces, meticulously reflects the decorative arts and historical authenticity of its era.

#VacheronConstantin #OneOfNotMany",564,3,0,1776592801,https://www.threads.net/@vacheronconstantin/post/DXRe6kIFKZE
3878648227427292587,celloworldofficial,"Hydrated and unbothered with @celloworldofficial Quench 💕
.
.
.
.
.
.
.
.
.
.
#cello #hydration #trending #tumbler #blogger",12,1,0,1776591663,https://www.threads.net/@celloworldofficial/post/DXTugNMgJWr
3878653615154282941,marketingharry,"What if Hagrid had an Instagram profile?

Hagrid is one of the fictional characters I’d love to meet in real life

That’s why I created a Instagram profile for him…

Here’s my take on:

- His Instagram Profile
- His Content Strategy
- And his Visual Identity

👹• Who else should I create an Instagram profile for? Comment below",89,5,0,1776591563,https://www.threads.net/@marketingharry/post/DXTvum6DkG9
3878647968119462119,jason_statham_fan_side,"#jasonstatham #actor #jason_statham_fan_side #instagramreels #usa 
MUTINY 💣",57,5,0,1776591028,https://www.threads.net/@jason_statham_fan_side/post/DXTucbsjRjn
3878634732330666448,beargrylls,"Clear water doesn’t mean clean water!
What's upstream? What are the conditions there?

Up this high though the risk reduces so we risked it and drank straight from the glacial source.
No hesitation from @officallymcconaughey - which tbh tells you everything about the man!

Running Wild with Matthew McConaughey. April 21st on @foxtv next day on @hulu",3447,18,0,1776589390,https://www.threads.net/@beargrylls/post/DXTrb06D8nQ
3878605366354895541,tirabeauty,"Your camera roll called — it wants to be IRL. 💗

Those screenshots weren’t for nothing. Tira Turns 3 is now live with up to 50% off, plus a few extra surprises along the way.

Shop now on the @tirabeauty app.

#TiraBeauty #ForEveryYou #TiraTurns3 #BeautySale",50,4,0,1776585811,https://www.threads.net/@tirabeauty/post/DXTkwftgeK1
3878591183149320080,tictacindia,"Trapped in the office grind? Escape the ordinary and refresh your vibe with Tic Tac.

#Ad #TicTacIndia #Escapism #TicTacFreshVibe #TicTacVibeRefresh",18,1,0,1776584200,https://www.threads.net/@tictacindia/post/DXThiGkk8eQ
3878573862610592922,oppo,"Want to get closer to the action? 🏔️ 

Bring the background to you with Hasselblad 50MP 10x Optical Telephoto.

#OPPOFindX9Ultra #OPPO10xOpticalTelephoto #FrameUltraMoments #ZoomintoDetail #ShotonOPPO",265,6,0,1776582047,https://www.threads.net/@oppo/post/DXTdmDkBOSa
3878042273644971474,vacheronconstantin,"Craft As A Tribute To Great Civilisations

The Maison's profound dedication to artistry is revealed in the creation of the Métiers d'Art Tribute to Great Civilisations series.

In close collaboration with curators of @museelouvre, Vacheron Constantin's artisans embarked on a three-year journey to translate monumental masterpieces into miniature works of art. Glyptique on stone, a first for the Maison, brings the central effigies to life, while micro-mosaic, engraving, and enamelling meticulously form the intricate friezes.

Each dial requires between 120 and 220 hours of work, a testament to the relentless quest for precision and excellence of the Maison.

#VacheronConstantin #OneOfNotMany",1683,31,0,1776582002,https://www.threads.net/@vacheronconstantin/post/DXRkuawjoXS
3878095068666714513,glashuetteoriginal,"Each of our watches has its own story. An idea that inspired us to create it. A tradition that we wanted to revive. Or an almost impossible challenge that was successfully overcome. With #AspectsOfTime, we want to shed light on one of these hidden aspects once a month - today: sapphire crystal.

Sapphire crystal not only provides maximum clarity, it also acts as a sort of protective shield for a watch. 

This synthetic crystal, made of aluminium oxide, is almost as hard as a diamond and offers optimum protection for dials and displays. The “silent hero” of the watch industry is a hallmark of high-quality watches and is used in all Glashütte Original models – not only on the front, but on the case back of most timepieces as well. 

For some time now, our 39.5 mm SeaQ has also been among the models featuring a sapphire crystal case back: The classic three-hand model was originally – like its historical predecessor from 1969 – available exclusively with a stainless steel case back. This diving watch is now also available with a sapphire crystal case back, offering a glimpse into the refined mechanics. 

Yet, regardless of which side of your Glashütte Original features this coveted material, ensuring both transparency and protection: its qualities are crystal clear.

#GlashütteOriginal #GlashuetteOriginal #LuxuryWatches #SapphirCrystalBack",365,0,0,1776582000,https://www.threads.net/@glashuetteoriginal/post/DXRwur9EtmR
3878550124989615311,genai.works,"CHATGPT vs GROK vs GEMINI vs CLAUDE vs PERPLEXITY
Here's which AI tool to use and when:

▪️ChatGPT: Best for creative content, coding, and everyday productivity workflows. Automate your workflow and create custom GPTs for writing, planning, and analysis.

🔺Pro tip: Use ChatGPT to automate your workflow, create custom GPTs for writing, planning, and analysis.

▪️Grok: Best for real-time trends, pop culture, and candid insights. Create viral posts or social commentary with personality and wit.

🔺Pro tip: Grok to create viral posts or social commentary with personality and wit.

▪️Gemini: Best for Google Workspace integration and real-time data access. Use it for organization and collaboration inside Google Workspace to keep everything connected.

🔺Pro tip: Use Gemini for organization and collaboration inside Google Workspace to keep everything connected.

▪️Claude: Best for deep reading, comprehension, and ethical reasoning. Summarize, fact-check, or rewrite large complex documents into simple insights.

🔺Pro tip: Use Claude to summarize, fact-check, or rewrite large, complex documents into simple insights.

▪️Perplexity: Best for verified research, fact-checking, and summarizing sources. Your go-to when accuracy and verification matter.

🔺Pro tip: Use Perplexity when accuracy and verification matter, great for research, reports, and sourcing.

Which one is your go-to? Drop it below.

Follow @genai.works for more AI breakdowns.",13,0,0,1776579272,https://www.threads.net/@genai.works/post/DXTYMoLjYzP
3878531035872978110,rolex,"The new-generation Yacht-Master II. Available in Oystersteel or in 18ct yellow gold, the new version of this unique regatta chronograph presents a completely revisited design and movement. The programmable countdown function of this nautical watch – featuring a mechanical memory and on-the-fly synchronization – has been entirely redesigned to more effectively assist sailors during the critical start sequence of races.
#Rolex #YachtMasterII #WatchesAndWonders2026
For more details, see link in profile.",12445,90,0,1776578414,https://www.threads.net/@rolex/post/DXTT22DiWS-
3878498349594880577,asus,"🔥 Join #GoWithASUS giveaway for a chance to win an ASUS Mini Travel Router 👉 https://asus.click/hchaoj 

🔥 Use this instead of your mobile hotspot! 
👉🏻 ASUS RT-BE58 Go Travel Router

#ASUSRTBE58Go @asus",462,7,0,1776573136,https://www.threads.net/@asus/post/DXTMbMliqpB
3878492083733456113,genai.works,"Huawei just changed how phone cameras work.

Instead of fixing your photo after you shoot, it helps you before you even tap the button.

The AI reads the scene in real time and suggests poses instantly, based on what’s actually happening, not generic templates.

No guessing. Fewer retakes. Just better shots from the start.

It’s a small shift, but it changes everything:
less editing, more intention.

This is one of those AI features that actually feels useful.

Follow @genai.works for more AI breakdowns.",13,0,0,1776572360,https://www.threads.net/@genai.works/post/DXTLABDGOTx
